biome * ffffff ffffff ffffff
biome 108 99ff66 81bb75 60a952
biome 109 ffffff 47cd33 1abf00
biome 110 ffffff a0b676 87a353
biome 111 ffffff 47cd33 1abf00
biome 112 ffffff 81bb75 60a952
biome 113 33cc33 80b497 60a17b
biome 114 ffffff a0b676 87a353
biome 115 ffffff a0b676 87a353
biome 116 ffffff a0b676 87a353
biome 117 ffffff a0b676 87a353
biome 119 ffffff a0b676 87a353
biome 120 ffffff a0b676 87a353
biome 121 ffffff a0b676 87a353
biome 122 ffffff a0b676 87a353
biome 123 ffffff a0b676 87a353
biome 124 ffffff 80b497 60a17b
biome 125 ffffff a0b676 87a353
biome 126 ffffff a0b676 87a353
biome 127 ffffff a0b676 87a353
biome 128 ffffff 6ac44e 45b421
biome 129 ffffff 91bd59 77ab2f
biome 130 ffffff bfb755 aea42a
biome 131 ffffff 8ab689 6da36b
biome 132 ffffff 79c05a 59ae30
biome 133 ffffff 86b783 68a464
biome 134 e0ffae 6a7039 6a7039
biome 135 ffffff 6ac44e 45b421
biome 136 ffffff 6ac44e 45b421
biome 137 ffffff 6ac44e 45b421
biome 138 ffffff 6ac44e 45b421
biome 139 ffffff 6ac44e 45b421
biome 140 ffffff 80b497 60a17b
biome 141 cc1188 6d4189 7c6d87
biome 142 0077ee 55ff81 66ffc5
biome 143 ffffff 6ac44e 45b421
biome 144 ffffff 6ac44e 45b421
biome 145 ffffff 6ac44e 45b421
biome 147 ffffff b2b762 9ea43b
biome 148 ffffff b2b762 9ea43b
biome 149 ffffff 59c93c 30bb0b
biome 151 ffffff 64c73f 3eb80f
biome 152 ffffff a0b676 87a353
biome 154 2e535f 404840 405340
biome 155 ffffff 88bb66 6ba940
biome 156 ffffff 88bb66 6ba940
biome 157 ffffff 507a32 59ae30
biome 158 ffffff 80b497 60a17b
biome 159 ffffff 8eb971 71a74d
biome 160 ffffff 86b783 68a464
biome 161 ffffff 86b783 68a464
biome 162 ffffff 8ab689 6da36b
biome 163 ffffff bfb755 aea42a
biome 164 ffffff bfb755 aea42a
biome 165 ffffff 90814d 9e814d
biome 166 ffffff 90814d 9e814d
biome 167 ffffff 90814d 9e814d
biome 168 ffffff 8cbd5f 70ab38
biome 169 ffffff b1b762 9da43b
biome 170 ffffff b1b762 9da43b
biome 171 ffffff 8cbd5f 70ab38
biome 172 ffffff b1b762 9da43b
biome 177 ffffff 43159c 77ab2f
biome 178 184220 314d31 314d31
biome 179 1b3944 314d31 314d31
biome 180 1b3944 314d31 314d31
biome 181 184220 314d31 314d31
biome 182 485e18 314d31 314d31
biome 183 485e18 314d31 314d31
biome 184 3a2f0b 314d31 314d31
biome 185 ffffff a0b676 87a353
biome 186 ffffff a0b676 87a353
biome 187 ffffff a0b676 87a353
biome 188 ffffff a0b676 87a353
biome 191 ffffff 4b6754 3b5e3f
biome 192 ffffff 61c64b 3bb61e
biome 193 ffffff 8eb971 71a74d
biome 194 ffffff 79c05a 59ae30
biome 195 ffffff 91bd59 77ab2f
biome 196 ffffff 6ac44e 45b421
biome 197 ffffff a0b676 87a353
biome 198 ffffff a0b676 87a353
biome 200 ffffff a0b676 87a353
biome 201 ffffff a0b676 87a353
biome 202 ffffff a0b676 87a353
biome 203 ffffff c6ff54 c6ff54
biome 204 ffffff 74bf26 74bf26
biome 205 ffffff 4e8833 4e8833
biome 206 5c5835 314d31 314d31
biome 207 ffffff b6b957 a3a52d
biome 208 ffffff c1b668 c1b668
biome 209 ffffff 53ca37 29bc05
biome 210 ffffff a6bb4e 91a922
biome 211 c000c0 8eb971 71a74d
biome 212 242424 8eb971 71a74d
biome 213 242424 8eb971 71a74d
biome 214 ffffff 80b497 60a17b
biome 215 242424 8eb971 71a74d
biome 216 242424 8eb971 71a74d
biome 217 ffffff 8eb971 71a74d
biome 218 002cff 8eb971 71a74d
biome 219 ffffff a0b676 87a353
biome 227 ffffff a0b676 87a353
biome 228 70db70 a0b676 87a353
biome 229 ffffff a0b676 87a353
biome 230 ffffff a0b676 87a353
biome 231 ffffff 554114 e94e14
biome 232 ffffff a0b676 87a353
biome 233 ffffff 8eb93f 71a73f
biome 234 6c2c2c 572e23 64260f
biome 235 ffffff 80b497 60a17b
biome 236 ffffff 88b977 6aa755
biome 237 ffffff 90b682 74a362
biome 238 ffffff 70c15b 4cb031
biome 239 ffffff 7cbd6b 5bab46
biome 240 ffffff 72c250 4eb224
biome 241 ffffff b9b75b a6a432
biome 242 ffffff 84b68d 65a371
biome 243 ffffff 7cbd6b 5bab46
biome 244 e0ffae 5c694e 496137
biome 245 ffffff 90b682 74a362
biome 247 ffffff 6ac44e 45b421
biome 249 ffffff a0b676 87a353
biome 250 ffffff a0b676 87a353
biome 251 ffffff a0b676 87a353
biome 252 ffffff a0b676 87a353
biome 253 ffffff a0b676 87a353
biome 254 ffffff a0b676 87a353
biome 255 ffffff a0b676 87a353
blocktype * * normal
blocktype 2 * grass
blocktype 8 * water
blocktype 9 * water
blocktype 18 * leaves
blocktype 18 1 opaque
blocktype 18 2 opaque
blocktype 31 * grass
blocktype 106 * foliage
blocktype 169 * grass
blocktype 1920 * grass
blocktype 1923 * opaque
blocktype 1924 * opaque
blocktype 1925 * foliage
blocktype 1926 * opaque
blocktype 1932 * foliage
blocktype 1962 * leaves
blocktype 2164 * leaves
blocktype 2177 * leaves
blocktype 2200 * opaque
blocktype 2204 * leaves
blocktype 3257 * opaque
blocktype 3258 * opaque
blocktype 3259 * leaves
blocktype 3272 * opaque
blocktype 3278 * opaque
block * * 00000000
block 1 * ff7d7d7d
block 2 * ff939393
block 3 * ff866043
block 3 2 ff5a3f1c
block 4 * ff7a7a7a
block 5 * ff9c7f4e
block 5 1 ff674d2e
block 5 2 ffc3b37b
block 5 3 ff9a6e4d
block 5 4 ffa95b33
block 5 5 ff3d2712
block 6 * 6438561c
block 6 0 6b476625
block 6 1 53333a21
block 6 2 6b769654
block 6 3 55305612
block 6 4 4b727314
block 6 8 6b476625
block 6 9 53333a21
block 6 10 6b769654
block 6 11 55305612
block 6 12 4b727314
block 7 * ff535353
block 8 * b22e43f4
block 9 * b22e43f4
block 10 * ffd65e13
block 11 * ffd65e13
block 12 * ffdbd3a0
block 12 1 ffa95821
block 13 * ff7e7c7a
block 14 * ff8f8b7c
block 15 * ff87827e
block 16 * ff737373
block 17 * ff665131
block 17 0 ff9a7d4d
block 17 1 ff685130
block 17 2 ffb8a679
block 17 3 ff997649
block 17 5 ff2d1c0c
block 17 6 ffcecec9
block 17 7 ff57431a
block 17 9 ff2d1c0c
block 17 10 ffcecec9
block 17 11 ff57431a
block 17 13 ff2d1c0c
block 17 14 ffcecec9
block 17 15 ff57431a
block 18 * ff878787
block 18 1 ff2c452c
block 18 2 ff43582d
block 18 3 ff918e86
block 18 5 ff747474
block 18 7 ff918e86
block 18 9 ff747474
block 18 11 ff918e86
block 18 13 ff747474
block 18 15 ff918e86
block 19 * ffb6b639
block 20 * 46daf0f4
block 21 * ff667086
block 22 * ff264389
block 23 * ff606060
block 23 1 ff565656
block 23 9 ff565656
block 24 * ffdad29e
block 25 * ff644332
block 26 * ff8e1616
block 26 8 ffaf7474
block 26 9 ffaf7474
block 26 10 ffaf7474
block 26 11 ffaf7474
block 26 12 ffaf7474
block 26 13 ffaf7474
block 26 14 ffaf7474
block 26 15 ffaf7474
block 27 * ab846c48
block 27 8 ab9a6846
block 27 9 ab9a6846
block 27 10 ab9a6846
block 27 11 ab9a6846
block 27 12 ab9a6846
block 27 13 ab9a6846
block 27 14 ab9a6846
block 27 15 ab9a6846
block 28 * 9b895c50
block 28 0 9b786559
block 28 1 9b786559
block 28 2 9b786559
block 28 3 9b786559
block 28 4 9b786559
block 28 5 9b786559
block 28 6 9b786559
block 28 7 9b786559
block 29 * ff6a665f
block 29 0 ff606060
block 29 1 ff8d9263
block 29 6 ff8d9263
block 29 7 ff8d9263
block 29 8 ff606060
block 29 9 ff606060
block 29 14 ff8d9263
block 29 15 ff8d9263
block 30 * 68dcdcdc
block 31 * 517b4f19
block 31 1 a2747474
block 31 2 4e787878
block 32 * 517b4f19
block 33 * ff6a665f
block 33 0 ff606060
block 33 1 ff998159
block 33 6 ff998159
block 33 7 ff998159
block 33 8 ff606060
block 33 9 ff606060
block 33 14 ff998159
block 33 15 ff998159
block 34 * ff6a665f
block 34 0 ff998159
block 34 1 ff998159
block 34 8 ff998159
block 34 9 ff8d9263
block 35 0 ffdddddd
block 35 1 ffdb7d3e
block 35 2 ffb350bc
block 35 3 ff6a8ac9
block 35 4 ffb1a627
block 35 5 ff41ae38
block 35 6 ffd08499
block 35 7 ff404040
block 35 8 ff9aa1a1
block 35 9 ff2e6e89
block 35 10 ff7e3db5
block 35 11 ff2e388d
block 35 12 ff4f321f
block 35 13 ff35461b
block 35 14 ff963430
block 35 15 ff191616
block 36 * ff998159
block 37 * 60ffff00
block 38 * 60ff0000
block 39 * 198a6953
block 40 * 21c33538
block 41 * fff9ec4e
block 42 * ffdbdbdb
block 43 * ff7a7a7a
block 43 0 ff9f9f9f
block 43 1 ffdad29e
block 43 2 ff9c7f4e
block 43 4 ff926356
block 43 6 ff2c161a
block 43 7 ffece9e2
block 43 8 ff9f9f9f
block 43 9 ffdad29e
block 43 10 ff9c7f4e
block 43 12 ff926356
block 43 14 ff2c161a
block 43 15 ffece9e2
block 44 * ff7a7a7a
block 44 0 ff9f9f9f
block 44 1 ffdad29e
block 44 2 ff9c7f4e
block 44 4 ff926356
block 44 6 ff2c161a
block 44 7 ffece9e2
block 44 8 ff9f9f9f
block 44 9 ffdad29e
block 44 10 ff9c7f4e
block 44 12 ff926356
block 44 14 ff2c161a
block 44 15 ffece9e2
block 45 * ff926356
block 46 * ff82412f
block 47 * ff9c7f4e
block 48 * ff677967
block 49 * ff14121d
block 50 * 13826a3a
block 51 * 90dda55f
block 52 * 9b1a2731
block 53 * ff9c7f4e
block 54 * ff9c7f4e
block 55 * 35efefef
block 56 * ff818c8f
block 57 * ff61dbd5
block 58 * ff6b472a
block 59 * a6566607
block 59 0 0500b312
block 59 1 1312ac0f
block 59 2 2b1c890b
block 59 3 4d258b08
block 59 4 672e8007
block 59 5 80427b07
block 59 6 8e507607
block 60 * ff4b280d
block 60 0 ff734b2d
block 61 * ff606060
block 62 * ff606060
block 63 * ff9c7f4e
block 64 * ffa08443
block 65 * 8f795f34
block 66 * 6b786b56
block 66 0 8f796c58
block 66 1 8f796c58
block 66 2 8f796c58
block 66 3 8f796c58
block 66 4 8f796c58
block 66 5 8f796c58
block 67 * ff7a7a7a
block 68 * ff9c7f4e
block 69 * 136a5940
block 70 * ff7d7d7d
block 71 * ffbbbbbb
block 72 * ff9c7f4e
block 73 * ff846b6b
block 74 * ff846b6b
block 75 * 135d3e26
block 76 * 19a74b29
block 77 * ff7d7d7d
block 78 * ffeffbfb
block 79 * 9f7dadff
block 80 * ffeffbfb
block 81 * c30d6318
block 82 * ff9ea4b0
block 83 * 8c94c065
block 84 * ff6b4937
block 85 * ff9c7f4e
block 86 * ffc07615
block 87 * ff6f3634
block 88 * ff544033
block 89 * ff8f7645
block 90 * be580bc0
block 91 * ffc07615
block 92 * c3e4cdce
block 93 * ff979393
block 94 * ffa09393
block 95 0 7bffffff
block 95 1 7bd87e32
block 95 2 7bb24bd8
block 95 3 7b6599d8
block 95 4 7be4e432
block 95 5 7b7ecb18
block 95 6 7bf17ea4
block 95 7 7b4b4b4b
block 95 8 7b999999
block 95 9 7b4b7e99
block 95 10 7b7e3eb2
block 95 11 7b324bb2
block 95 12 7b654b32
block 95 13 7b657e32
block 95 14 7b993232
block 95 15 7b181818
block 96 * db7e5d2d
block 97 * ff7d7d7d
block 97 1 ff7a7a7a
block 97 2 ff7a7a7a
block 97 3 ff72776a
block 97 4 ff767676
block 97 5 ff767676
block 98 * ff7a7a7a
block 98 1 ff72776a
block 98 2 ff767676
block 98 3 ff767676
block 99 * ff8d6a53
block 99 0 ffcaab78
block 99 10 ffcaab78
block 99 11 ffcaab78
block 99 12 ffcaab78
block 99 13 ffcaab78
block 99 15 ffcfccc2
block 100 * ffb62524
block 100 0 ffcaab78
block 100 10 ffcaab78
block 100 11 ffcaab78
block 100 12 ffcaab78
block 100 13 ffcaab78
block 100 15 ffcfccc2
block 101 * 736d6c6a
block 102 * 46daf0f4
block 103 * ff979924
block 104 0 22009900
block 104 1 22139402
block 104 2 22268f04
block 104 3 22398a07
block 104 4 224c8509
block 104 5 2260810c
block 104 6 22737c0e
block 104 7 22867710
block 104 8 22007213
block 104 9 22136d15
block 104 10 22266918
block 104 11 2239641a
block 104 12 224c5f1c
block 104 13 22605a1f
block 104 14 22735521
block 104 15 22865124
block 105 0 22009900
block 105 1 22139402
block 105 2 22268f04
block 105 3 22398a07
block 105 4 224c8509
block 105 5 2260810c
block 105 6 22737c0e
block 105 7 22867710
block 105 8 22007213
block 105 9 22136d15
block 105 10 22266918
block 105 11 2239641a
block 105 12 224c5f1c
block 105 13 22605a1f
block 105 14 22735521
block 105 15 22865124
block 106 * 8a6f6f6f
block 107 * ff9c7f4e
block 108 * ff926356
block 109 * ff7a7a7a
block 110 * ff6f6369
block 111 * 930e3b16
block 112 * ff2c161a
block 113 * ff2c161a
block 114 * ff2c161a
block 115 * cc6f1211
block 115 0 2a6a0e1e
block 115 1 786c0f16
block 115 2 786c0f16
block 116 * ff67403b
block 117 * 767c6751
block 118 * 6f454545
block 119 * be580bc0
block 120 * ff597560
block 121 * ffdddfa5
block 122 * ff0c090f
block 123 * ff462b1a
block 124 * ff775937
block 125 * ff9c7f4e
block 125 1 ff674d2e
block 125 2 ffc3b37b
block 125 3 ff9a6e4d
block 125 4 ffa95b33
block 125 5 ff3d2712
block 125 9 ff674d2e
block 125 10 ffc3b37b
block 125 11 ff9a6e4d
block 125 12 ffa95b33
block 125 13 ff3d2712
block 126 * ff9c7f4e
block 126 1 ff674d2e
block 126 2 ffc3b37b
block 126 3 ff9a6e4d
block 126 4 ffa95b33
block 126 5 ff3d2712
block 126 9 ff674d2e
block 126 10 ffc3b37b
block 126 11 ff9a6e4d
block 126 12 ffa95b33
block 126 13 ff3d2712
block 127 * 8391501e
block 128 * ffdad29e
block 129 * ff6d8074
block 130 * ff14121d
block 131 * 2d8a8171
block 132 * 08818181
block 133 * ff51d975
block 134 * ff674d2e
block 135 * ffc3b37b
block 136 * ff9a6e4d
block 137 * ffb2896f
block 138 * ff74ddd7
block 139 * ff7a7a7a
block 139 1 ff677967
block 140 * 31764133
block 141 * 6f158002
block 141 0 0901ab10
block 141 1 0901ab10
block 141 2 1701bb0f
block 141 3 1701bb0f
block 141 4 3600be10
block 141 5 3600be10
block 141 6 3600be10
block 142 * 6922aa24
block 142 0 0901ab10
block 142 1 0901ab10
block 142 2 1701bb0f
block 142 3 1701bb0f
block 142 4 3600be10
block 142 5 3600be10
block 142 6 3600be10
block 143 * ff9c7f4e
block 144 * ff544033
block 145 * ff404040
block 146 * ff9c7f4e
block 147 * fff9ec4e
block 148 * ffdbdbdb
block 149 * ffa59594
block 149 0 ff9c9695
block 149 1 ff9c9695
block 149 2 ff9c9695
block 149 3 ff9c9695
block 149 4 ff9c9695
block 149 5 ff9c9695
block 149 6 ff9c9695
block 149 7 ff9c9695
block 150 * ffa59594
block 151 * ff82745e
block 152 * ffab1b09
block 153 * ff7d544f
block 154 * 6f454545
block 155 * ffece9e2
block 155 1 ffe7e4db
block 155 2 ffe8e5dd
block 155 3 ffe7e3db
block 155 4 ffe7e3db
block 156 * ffece9e2
block 157 * 9b685347
block 157 8 9b8d5146
block 157 9 9b8d5146
block 157 10 9b8d5146
block 157 11 9b8d5146
block 157 12 9b8d5146
block 157 13 9b8d5146
block 157 14 9b8d5146
block 157 15 9b8d5146
block 158 * ff606060
block 158 1 ff565656
block 158 9 ff565656
block 159 0 ffd1b2a1
block 159 1 ffa15325
block 159 2 ff95586c
block 159 3 ff716c89
block 159 4 ffba8523
block 159 5 ff677534
block 159 6 ffa14e4e
block 159 7 ff392a23
block 159 8 ff876a61
block 159 9 ff565b5b
block 159 10 ff764656
block 159 11 ff4a3b5b
block 159 12 ff4d3323
block 159 13 ff4c532a
block 159 14 ff8f3d2e
block 159 15 ff251610
block 160 0 7bffffff
block 160 1 7bd87e32
block 160 2 7bb24bd8
block 160 3 7b6599d8
block 160 4 7be4e432
block 160 5 7b7ecb18
block 160 6 7bf17ea4
block 160 7 7b4b4b4b
block 160 8 7b999999
block 160 9 7b4b7e99
block 160 10 7b7e3eb2
block 160 11 7b324bb2
block 160 12 7b654b32
block 160 13 7b657e32
block 160 14 7b993232
block 160 15 7b181818
block 161 * 9a265f0c
block 162 * ff696359
block 162 0 ff9a5b40
block 162 1 ff4e3e29
block 162 2 ff9a5b40
block 162 3 ff4e3e29
block 162 5 ff342817
block 162 7 ff342817
block 162 9 ff342817
block 162 11 ff342817
block 162 13 ff342817
block 162 15 ff342817
block 163 * ffa95b33
block 164 * ff3d2712
block 166 0 65a54a22
block 166 1 559a9982
block 166 2 7b6b685f
block 166 3 84956757
block 166 4 ae574630
block 166 5 3f8a6472
block 167 * 65a54a22
block 167 0 1e954328
block 167 1 1e954328
block 167 2 1e954328
block 167 3 1e954328
block 167 4 3e98452a
block 167 5 3e98452a
block 167 6 3e98452a
block 168 * 559a9982
block 168 0 28949382
block 168 1 28949382
block 168 2 28949382
block 168 3 28949382
block 168 4 3491907f
block 168 5 3491907f
block 168 6 3491907f
block 169 * 7b6b685f
block 169 0 176f6d5b
block 169 1 176f6d5b
block 169 2 176f6d5b
block 169 3 176f6d5b
block 169 4 377f7e6c
block 169 5 377f7e6c
block 169 6 377f7e6c
block 170 * ff9d7412
block 170 0 ffa88b10
block 170 1 ffa88b10
block 170 2 ffa88b10
block 170 3 ffa88b10
block 171 0 ffdddddd
block 171 1 ffdb7d3e
block 171 2 ffb350bc
block 171 3 ff6a8ac9
block 171 4 ffb1a627
block 171 5 ff41ae38
block 171 6 ffd08499
block 171 7 ff404040
block 171 8 ff9aa1a1
block 171 9 ff2e6e89
block 171 10 ff7e3db5
block 171 11 ff2e388d
block 171 12 ff4f321f
block 171 13 ff35461b
block 171 14 ff963430
block 171 15 ff191616
block 172 * ff965c42
block 173 * ff121212
block 174 * ffa5c2f5
block 175 * 33416d2b
block 175 1 568e9484
block 175 2 8a7a7a7a
block 175 3 9e7b7b7b
block 175 4 b9454003
block 175 5 9336583b
block 176 * 9f895d4c
block 176 0 4a9e7466
block 176 1 4a9e7466
block 176 2 4a9e7466
block 176 3 4a9e7466
block 176 4 84956757
block 176 5 84956757
block 176 6 84956757
block 177 * ae574630
block 177 0 1e745d42
block 177 1 1e745d42
block 177 2 1e745d42
block 177 3 1e745d42
block 177 4 7c866f51
block 177 5 7c866f51
block 177 6 7c866f51
block 178 * 3f8a6472
block 178 0 0b924747
block 178 1 0b924747
block 178 2 0b924747
block 178 3 0b924747
block 178 4 178e4646
block 178 5 178e4646
block 178 6 178e4646
block 179 0 33005c00
block 179 1 330d5900
block 179 2 331b5601
block 179 3 33295302
block 179 4 33375003
block 179 5 33454d04
block 179 6 33534a05
block 179 7 33614705
block 179 8 33004406
block 179 9 330d4207
block 179 10 331b3f08
block 179 11 33293c09
block 179 12 3337390a
block 179 13 3345360b
block 179 14 3353330b
block 179 15 3361300c
block 180 * ff779f5f
block 181 * ff637503
block 182 * ff84222d
block 183 * ff450904
block 184 * ff600606
block 185 * d41e1e1e
block 186 * ff570a0a
block 187 * ffab1f10
block 188 * ff0f9baa
block 189 * fd969e2a
block 190 * ff8e1f91
block 191 * ff745d39
block 192 * ff8906c2
block 193 * ff2126c8
block 194 * ffc8b71f
block 195 * ffc81f72
block 196 * ffc8391f
block 197 * ff8b1fc8
block 198 * ff1fc8b2
block 199 * ff29793b
block 200 * ff306b02
block 201 * ff155330
block 202 * ff83808f
block 203 * ff2b2e21
block 204 * ff8a6879
block 205 * ff8c342e
block 206 * ff373627
block 207 * ff7f897b
block 208 * ff1b2118
block 209 * ff8f8880
block 210 * ff8f8380
block 211 * ff74788f
block 212 * ff363627
block 213 * ffaf3b43
block 214 * ff352d0d
block 215 * ffb7b7b7
block 216 * ff363636
block 217 * ff434d28
block 218 * 9b00969a
block 219 * 9b9a0300
block 220 * 9b644e35
block 221 * 9b4e9a00
block 222 * 9b4e9a00
block 223 * 9b4e9a00
block 224 * 9b606434
block 225 * 9b606434
block 226 * 9b606434
block 227 * 9b48009a
block 228 * 9b48009a
block 229 * 9b48009a
block 230 * 9b48009a
block 231 * 9b00669a
block 232 * 9b9a7900
block 233 * ff304524
block 234 * ff0c140e
block 235 * ff7465ae
block 236 * ffae27b1
block 237 * ff9e9f96
block 238 * ffa2a2a2
block 239 * ff9c714c
block 240 * ff9c4c99
block 241 * ff4c899c
block 242 * ff9c9b4c
block 243 * ff619c4c
block 244 * ffd572b2
block 245 * ff444444
block 246 * ff747474
block 247 * ff5b788d
block 248 * ff575592
block 249 * ff31457c
block 250 * ff5c503a
block 251 * ff435c3a
block 252 * ff712724
block 253 * ff393939
block 254 * ffd3d3d3
block 255 * ff575757
block 409 * ff58673f
block 410 * ff8d6a1a
block 411 * ff1a818d
block 412 * ff8d251a
block 413 * ff200b5a
block 414 * ffdfdfdf
block 415 * ffbfabea
block 416 * ffeaafab
block 423 * ffeae4ab
block 424 * ffaeeaab
block 425 * ffabe1ea
block 426 * ff5c229b
block 427 * ff9b2241
block 428 * ff9b6622
block 429 * ff409b22
block 430 * ff22589b
block 443 * ff9b2722
block 444 * ff551c19
block 445 * ff9b8222
block 446 * ff767147
block 447 * ff914726
block 448 * ff674b49
block 449 * ff6f262c
block 450 * ff495067
block 451 * ff26366f
block 452 * ff4f4f4f
block 453 * ff4f4f4f
block 454 * ff681d1d
block 455 * ff4a0e0e
block 456 * ff712521
block 457 * d4270303
block 458 * ff8f13a4
block 459 * ff9f7bd0
block 460 * ffa45513
block 461 * ffd0927b
block 462 * ff27b734
block 463 * ff8cd07b
block 464 * ffa49a13
block 465 * ffd0c57b
block 466 * ff133ea4
block 467 * ff7bb9d0
block 468 * ff544a84
block 469 * ff2b2b2b
block 470 * ff094e2d
block 471 * ff58338e
block 472 * ff45254e
block 473 * ff7b9e73
block 474 * 9f042b81
block 475 * 801241cc
block 476 * ffa35803
block 477 * ffaa5800
block 478 * ffa95800
block 479 * ffa55500
block 480 * ffaa5800
block 481 * ffad5900
block 482 * ffb45e00
block 483 * ff1f1c1b
block 484 * ff5a4b22
block 485 * ff4e4428
block 486 * ff845705
block 487 * ff2e2e2d
block 488 * ff624611
block 489 * 668b741f
block 490 * ff3e3417
block 491 * eec98901
block 492 * fffdb3f7
block 493 * ffb8b3fd
block 494 * ffc282d2
block 495 * fff984c4
block 496 * 30ab4b97
block 497 * 8fbc3484
block 498 * ffffacf7
block 499 * fff88736
block 500 * ff6e6c6a
block 501 * ff8106c2
block 502 * ff5d0075
block 503 * ffbc0322
block 504 * fffe0349
block 505 * ff032cbc
block 506 * ff086ffc
block 507 * ff7503bc
block 508 * ffc406f2
block 509 * ffbc9303
block 510 * ff252525
block 511 * ff5d8c32
block 512 * 5f386773
block 513 * 60776411
block 514 * 7350682e
block 515 * fdbd042c
block 516 * ff372216
block 517 * ff4b354e
block 518 * ff67586d
block 519 * ff6a4570
block 520 * de37045e
block 521 * 46847489
block 522 * ff6a00bb
block 523 * ff222222
block 524 * ff080808
block 525 * 8d393939
block 526 * 3a0d0d0d
block 527 * ff080808
block 528 * c1232323
block 529 * 3f080808
block 530 * ff0e0e0e
block 531 * fd070707
block 532 * ffc71cac
block 533 * ffe09fd8
